HCHO reading,Location,Current Date,Next Date,STATION,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
0.00012228732464783428,Kurunegala Proper,2023-09-03,2023-09-04,CEM00043441,7.467,80.367,116.0,1.62,78,82,59
0.00012233528656201189,Kurunegala Proper,2022-09-12,2022-09-13,CEM00043441,7.467,80.367,116.0,0.0,81,89,76
0.00012238860576348055,Kurunegala Proper,2020-10-12,2020-10-13,CEM00043441,7.467,80.367,116.0,0.03,81,88,76
0.00011729065213659791,Kurunegala Proper,2019-12-15,2019-12-16,CEM00043441,7.467,80.367,116.0,0.0,82,91,72
0.0001223910181144544,Kurunegala Proper,2023-07-30,2023-07-31,CEM00043441,7.467,80.367,116.0,0.0,83,93,78
0.0001224639433683271,Kurunegala Proper,2023-02-21,2023-02-22,CEM00043441,7.467,80.367,116.0,0.0,82,94,72
0.00012250316088549282,Kurunegala Proper,2020-09-01,2020-09-02,CEM00043441,7.467,80.367,116.0,0.0,81,88,54
0.00012253958025242986,Kurunegala Proper,2023-10-10,2023-10-11,CEM00043441,7.467,80.367,116.0,0.56,80,90,76
0.0001225585738617776,Kurunegala Proper,2022-02-27,2022-02-28,CEM00043441,7.467,80.367,116.0,0.0,80,68,52
0.00011708357276474049,Kurunegala Proper,2021-12-28,2021-12-29,CEM00043441,7.467,80.367,116.0,0.0,80,91,69
0.00012268836817829815,Kurunegala Proper,2022-06-04,2022-06-05,CEM00043441,7.467,80.367,116.0,0.0,82,89,78
0.00012269392721286137,Kurunegala Proper,2020-03-12,2020-03-13,CEM00043441,7.467,80.367,116.0,0.0,86,98,52
0.000116791468680985,Kurunegala Proper,2023-08-17,2023-08-18,CEM00043441,7.467,80.367,116.0,0.0,84,94,76
0.00012291661468593812,Kurunegala Proper,2022-12-28,2022-12-29,CEM00043441,7.467,80.367,116.0,0.02,81,90,75
0.00012310976865217573,Kurunegala Proper,2023-09-12,2023-09-13,CEM00043441,7.467,80.367,116.0,0.46,81,89,75
0.00011613741969121184,Kurunegala Proper,2022-09-22,2022-09-23,CEM00043441,7.467,80.367,116.0,0.0,82,91,76
0.00011613462356880908,Kurunegala Proper,2020-02-28,2020-02-29,CEM00043441,7.467,80.367,116.0,0.0,82,93,69
0.00011609632428577602,Kurunegala Proper,2019-09-10,2019-09-11,CEM00043441,7.467,80.367,116.0,0.0,85,91,78
0.00012360442299685876,Kurunegala Proper,2023-02-12,2023-02-13,CEM00043441,7.467,80.367,116.0,0.0,81,91,51
0.00012365676963690836,Kurunegala Proper,2022-12-30,2022-12-31,CEM00043441,7.467,80.367,116.0,0.0,78,89,67
0.00012375404956124178,Kurunegala Proper,2022-12-16,2022-12-17,CEM00043441,7.467,80.367,116.0,0.0,81,88,69
0.00012384049448444727,Kurunegala Proper,2020-05-06,2020-05-07,CEM00043441,7.467,80.367,116.0,1.26,81,91,75
0.00011581419000969629,Kurunegala Proper,2019-01-29,2019-01-30,CEM00043441,7.467,80.367,116.0,0.0,81,92,67
0.00012389031689502707,Kurunegala Proper,2020-04-16,2020-04-17,CEM00043441,7.467,80.367,116.0,0.94,83,71,73
0.0001240650705014217,Kurunegala Proper,2020-12-16,2020-12-17,CEM00043441,7.467,80.367,116.0,0.0,81,90,72
0.00012409323859393224,Kurunegala Proper,2020-04-23,2020-04-24,CEM00043441,7.467,80.367,116.0,0.79,83,72,74
0.00012427800272478998,Kurunegala Proper,2023-08-12,2023-08-13,CEM00043441,7.467,80.367,116.0,0.0,84,93,78
0.0001153367365672398,Kurunegala Proper,2023-09-30,2023-10-01,CEM00043441,7.467,80.367,116.0,0.72,77,89,75
0.00012457986604188896,Kurunegala Proper,2022-04-14,2022-04-15,CEM00043441,7.467,80.367,116.0,0.02,83,93,74
0.00012470146269900518,Kurunegala Proper,2021-02-24,2021-02-25,CEM00043441,7.467,80.367,116.0,0.0,85,96,71
0.00012475610256409885,Kurunegala Proper,2019-08-14,2019-08-15,CEM00043441,7.467,80.367,116.0,0.33,82,87,75
0.00011485274760189562,Kurunegala Proper,2022-06-10,2022-06-11,CEM00043441,7.467,80.367,116.0,0.0,83,90,77
0.00012486093160566655,Kurunegala Proper,2022-12-20,2022-12-21,CEM00043441,7.467,80.367,116.0,0.11,80,87,73
0.00011477298338327407,Kurunegala Proper,2022-09-07,2022-09-08,CEM00043441,7.467,80.367,116.0,0.05,78,84,75
0.0001249483113619082,Kurunegala Proper,2020-06-01,2020-06-02,CEM00043441,7.467,80.367,116.0,0.0,85,93,77
0.00011468193363168545,Kurunegala Proper,2019-07-27,2019-07-28,CEM00043441,7.467,80.367,116.0,0.03,85,89,74
0.00011453444703748712,Kurunegala Proper,2021-10-24,2021-10-25,CEM00043441,7.467,80.367,116.0,0.13,80,87,74
0.00011449659215645386,Kurunegala Proper,2023-12-21,2023-12-22,CEM00043441,7.467,80.367,116.0,0.0,82,93,74
0.00011448222960483499,Kurunegala Proper,2021-12-10,2021-12-11,CEM00043441,7.467,80.367,116.0,0.0,81,91,71
0.00011435525636603696,Kurunegala Proper,2022-08-24,2022-08-25,CEM00043441,7.467,80.367,116.0,0.3,80,86,76
0.00011431182951070428,Kurunegala Proper,2023-05-06,2023-05-07,CEM00043441,7.467,80.367,116.0,0.0,83,90,74
0.00011422852619861783,Kurunegala Proper,2023-01-11,2023-01-12,CEM00043441,7.467,80.367,116.0,0.0,77,87,68
0.00011422503620384205,Kurunegala Proper,2021-07-30,2021-07-31,CEM00043441,7.467,80.367,116.0,0.0,82,89,78
0.00012558621638416285,Kurunegala Proper,2022-03-03,2022-03-04,CEM00043441,7.467,80.367,116.0,0.01,84,91,78
0.00011406165720935664,Kurunegala Proper,2021-08-20,2021-08-21,CEM00043441,7.467,80.367,116.0,0.0,83,92,76
0.00011399611964382359,Kurunegala Proper,2023-03-23,2023-03-24,CEM00043441,7.467,80.367,116.0,0.0,80,94,54
0.00011390549806556741,Kurunegala Proper,2019-07-01,2019-07-02,CEM00043441,7.467,80.367,116.0,0.0,85,92,78
0.00012577602280679313,Kurunegala Proper,2020-05-28,2020-05-29,CEM00043441,7.467,80.367,116.0,0.0,85,92,76
0.00011389532835289035,Kurunegala Proper,2023-01-06,2023-01-07,CEM00043441,7.467,80.367,116.0,0.02,77,85,52
0.00011389532835289035,Kurunegala Proper,2023-01-07,2023-01-08,CEM00043441,7.467,80.367,116.0,0.27,78,86,74
0.00011384956417921267,Kurunegala Proper,2020-11-21,2020-11-22,CEM00043441,7.467,80.367,116.0,0.04,80,89,53
0.0001138283312892321,Kurunegala Proper,2021-12-27,2021-12-28,CEM00043441,7.467,80.367,116.0,0.0,79,90,69
0.00011382384402731281,Kurunegala Proper,2022-03-21,2022-03-22,CEM00043441,7.467,80.367,116.0,0.0,86,95,78
0.00012598668893637125,Kurunegala Proper,2019-03-03,2019-03-04,CEM00043441,7.467,80.367,116.0,0.0,88,96,73
0.00011360406922796497,Kurunegala Proper,2023-11-16,2023-11-17,CEM00043441,7.467,80.367,116.0,0.12,82,90,74
0.00011351707219623137,Kurunegala Proper,2019-08-27,2019-08-28,CEM00043441,7.467,80.367,116.0,0.57,81,87,73
0.00011341433166901495,Kurunegala Proper,2023-01-28,2023-01-29,CEM00043441,7.467,80.367,116.0,0.0,80,90,71
0.00012634530955497086,Kurunegala Proper,2022-07-16,2022-07-17,CEM00043441,7.467,80.367,116.0,0.03,83,89,77
0.0001263750317383637,Kurunegala Proper,2020-11-12,2020-11-13,CEM00043441,7.467,80.367,116.0,0.35,81,90,56
0.00012643029452753967,Kurunegala Proper,2020-06-14,2020-06-15,CEM00043441,7.467,80.367,116.0,0.0,84,90,78
0.00012643182034712368,Kurunegala Proper,2022-07-21,2022-07-22,CEM00043441,7.467,80.367,116.0,0.0,81,90,77
0.00011320039237182663,Kurunegala Proper,2022-12-13,2022-12-14,CEM00043441,7.467,80.367,116.0,0.0,80,89,69
0.00011317158830951286,Kurunegala Proper,2020-01-20,2020-01-21,CEM00043441,7.467,80.367,116.0,0.06,84,94,74
0.00012653545315078281,Kurunegala Proper,2023-01-19,2023-01-20,CEM00043441,7.467,80.367,116.0,0.0,78,87,68
0.00011309424432642853,Kurunegala Proper,2019-08-18,2019-08-19,CEM00043441,7.467,80.367,116.0,0.0,82,67,75
0.00011304285914159292,Kurunegala Proper,2021-12-01,2021-12-02,CEM00043441,7.467,80.367,116.0,0.0,79,88,72
0.00011303426280120108,Kurunegala Proper,2019-01-10,2019-01-11,CEM00043441,7.467,80.367,116.0,0.0,81,88,72
0.00012673922554224087,Kurunegala Proper,2022-10-23,2022-10-24,CEM00043441,7.467,80.367,116.0,0.41,78,86,73
0.00012675070499801975,Kurunegala Proper,2021-07-25,2021-07-26,CEM00043441,7.467,80.367,116.0,0.0,79,88,77
0.00012686627143290274,Kurunegala Proper,2022-08-10,2022-08-11,CEM00043441,7.467,80.367,116.0,0.0,81,88,75
0.0001268674765810468,Kurunegala Proper,2021-10-28,2021-10-29,CEM00043441,7.467,80.367,116.0,0.2,78,87,74
0.0001269416798709339,Kurunegala Proper,2020-10-02,2020-10-03,CEM00043441,7.467,80.367,116.0,0.0,82,90,76
0.00011270591494394466,Kurunegala Proper,2020-01-22,2020-01-23,CEM00043441,7.467,80.367,116.0,0.65,80,86,58
0.000112693608105766,Kurunegala Proper,2020-01-02,2020-01-03,CEM00043441,7.467,80.367,116.0,0.0,82,90,73
0.00012704388586223038,Kurunegala Proper,2023-11-10,2023-11-11,CEM00043441,7.467,80.367,116.0,4.49,80,90,54
0.0001270743896241518,Kurunegala Proper,2022-06-22,2022-06-23,CEM00043441,7.467,80.367,116.0,0.04,81,89,77
0.00012712629571816608,Kurunegala Proper,2022-03-30,2022-03-31,CEM00043441,7.467,80.367,116.0,1.25,81,94,51
0.00011246649853281589,Kurunegala Proper,2022-08-25,2022-08-26,CEM00043441,7.467,80.367,116.0,0.0,80,90,76
0.00011246649853281589,Kurunegala Proper,2022-08-26,2022-08-27,CEM00043441,7.467,80.367,116.0,0.0,79,87,79
0.00012722333081240932,Kurunegala Proper,2020-12-26,2020-12-27,CEM00043441,7.467,80.367,116.0,0.0,76,81,74
0.0001272790622782617,Kurunegala Proper,2022-04-22,2022-04-23,CEM00043441,7.467,80.367,116.0,0.43,80,92,53
0.0001123306889854816,Kurunegala Proper,2022-10-05,2022-10-06,CEM00043441,7.467,80.367,116.0,0.0,82,89,77
0.00011221603219402373,Kurunegala Proper,2020-10-19,2020-10-20,CEM00043441,7.467,80.367,116.0,0.0,83,70,77
0.00012751137900198569,Kurunegala Proper,2023-10-14,2023-10-15,CEM00043441,7.467,80.367,116.0,0.52,80,90,75
0.00011213871886556403,Kurunegala Proper,2023-03-30,2023-03-31,CEM00043441,7.467,80.367,116.0,0.0,83,96,53
0.00012778779853039966,Kurunegala Proper,2019-11-04,2019-11-05,CEM00043441,7.467,80.367,116.0,0.03,81,91,72
0.00012780500036582612,Kurunegala Proper,2023-03-15,2023-03-16,CEM00043441,7.467,80.367,116.0,0.03,81,95,73
0.00011185504455629726,Kurunegala Proper,2020-11-30,2020-12-01,CEM00043441,7.467,80.367,116.0,0.0,83,91,74
0.00011177912533022203,Kurunegala Proper,2022-06-13,2022-06-14,CEM00043441,7.467,80.367,116.0,0.0,83,90,77
0.00011169411528512034,Kurunegala Proper,2022-10-10,2022-10-11,CEM00043441,7.467,80.367,116.0,0.0,82,91,75
0.00011166053570037196,Kurunegala Proper,2020-01-06,2020-01-07,CEM00043441,7.467,80.367,116.0,0.0,84,94,71
0.00012803720907968183,Kurunegala Proper,2023-03-31,2023-04-01,CEM00043441,7.467,80.367,116.0,0.0,84,96,73
0.0001115467461292375,Kurunegala Proper,2022-07-04,2022-07-05,CEM00043441,7.467,80.367,116.0,0.01,82,90,76
0.00011149977648771259,Kurunegala Proper,2021-08-07,2021-08-08,CEM00043441,7.467,80.367,116.0,0.0,81,88,77
0.00012823187110166934,Kurunegala Proper,2020-11-05,2020-11-06,CEM00043441,7.467,80.367,116.0,1.59,81,94,73
0.00011139384439784514,Kurunegala Proper,2021-07-01,2021-07-02,CEM00043441,7.467,80.367,116.0,0.01,80,88,58
0.00011135971300893503,Kurunegala Proper,2020-02-19,2020-02-20,CEM00043441,7.467,80.367,116.0,0.0,82,94,72
0.00011135850375333045,Kurunegala Proper,2021-03-08,2021-03-09,CEM00043441,7.467,80.367,116.0,0.02,82,95,74
0.0001113523173507818,Kurunegala Proper,2019-01-30,2019-01-31,CEM00043441,7.467,80.367,116.0,0.0,85,69,70
0.00012847344616996137,Kurunegala Proper,2022-12-06,2022-12-07,CEM00043441,7.467,80.367,116.0,0.02,79,84,73
0.00012847344616996137,Kurunegala Proper,2022-12-07,2022-12-08,CEM00043441,7.467,80.367,116.0,0.0,77,82,75
0.00012847344616996137,Kurunegala Proper,2022-12-08,2022-12-09,CEM00043441,7.467,80.367,116.0,0.06,69,63,53
0.00012847344616996137,Kurunegala Proper,2022-12-09,2022-12-10,CEM00043441,7.467,80.367,116.0,0.38,72,78,65
0.0001286035110503708,Kurunegala Proper,2020-09-23,2020-09-24,CEM00043441,7.467,80.367,116.0,0.77,81,87,73
0.0001286907886696066,Kurunegala Proper,2023-10-12,2023-10-13,CEM00043441,7.467,80.367,116.0,0.04,80,89,75
0.00011087501341488952,Kurunegala Proper,2021-03-06,2021-03-07,CEM00043441,7.467,80.367,116.0,0.0,81,70,48
0.0001107527266757357,Kurunegala Proper,2019-06-06,2019-06-07,CEM00043441,7.467,80.367,116.0,0.0,84,91,78
0.00011068968245452321,Kurunegala Proper,2023-06-28,2023-06-29,CEM00043441,7.467,80.367,116.0,0.56,82,89,76
0.00012905545653340233,Kurunegala Proper,2023-01-24,2023-01-25,CEM00043441,7.467,80.367,116.0,0.0,79,89,56
0.00012908278911828266,Kurunegala Proper,2022-08-01,2022-08-02,CEM00043441,7.467,80.367,116.0,0.92,76,80,54
0.00011054672778152677,Kurunegala Proper,2023-10-13,2023-10-14,CEM00043441,7.467,80.367,116.0,0.63,81,89,74
0.00011046377139853637,Kurunegala Proper,2019-08-29,2019-08-30,CEM00043441,7.467,80.367,116.0,0.0,84,89,76
0.00011046114466736181,Kurunegala Proper,2023-06-24,2023-06-25,CEM00043441,7.467,80.367,116.0,0.0,84,92,79
0.00011038980809656537,Kurunegala Proper,2022-03-27,2022-03-28,CEM00043441,7.467,80.367,116.0,0.01,80,74,76
